Rank,country,Capital,Continent,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
36,Afghanistan,Kabul,Asia,7480461,7971931,8622466,9565147,10752971,12157386,12486631,10512221,10694796,16418912,19542982
138,Albania,Tirana,Europe,1252582,1453730,1711189,2009789,2324731,2650122,2941651,3171725,3295066,3284364,3182021
34,Algeria,Algiers,Africa,9019866,10242288,11394307,12381256,13795915,15724692,18739378,22132905,25518074,28478022,30774621
213,American Samoa,Pago Pago,Oceania,19032,19826,20085,23391,27075,29573,32886,39663,47818,53401,58230
203,Andorra,Andorra la Vella,Europe,6005,6116,9443,13563,19860,27640,35611,43809,53569,62928,66097
42,Angola,Luanda,Africa,4478184,4938118,5357195,5736582,6029700,7032713,8330047,9970621,11828638,13912253,16394062
224,Anguilla,The Valley,North America,5017,5752,5752,6018,6283,6463,6560,6907,8316,9601,11047
201,Antigua and Barbuda,Saint John’s,North America,45435,50264,55342,59644,64516,64035,64888,65048,63328,68398,75055
33,Argentina,Buenos Aires,South America,17017742,18700686,20349744,22053661,23842803,25875558,28024803,30287112,32637657,34946110,37070774
140,Armenia,Yerevan,Asia,1385041,1604376,1904148,2234051,2534377,2830798,3135123,3300896,3556539,3322782,3168523
198,Aruba,Oranjestad,North America,38797,46464,54608,58782,59106,60715,62267,64478,65712,77050,89101
55,Australia,Canberra,Oceania,8177167,9209844,10286647,11359442,12595034,13886854,14706322,15785682,17048003,18002999,19017963
99,Austria,Vienna,Europe,6936440,6946260,7046553,7269888,7465301,7576926,7547561,7562114,7678729,7947296,8010428
91,Azerbaijan,Baku,Asia,3158966,3550017,4131484,4837811,5425317,5925012,6383060,6891140,7427836,7889330,8190337
176,Bahamas,Nassau,North America,81644,92444,114500,144849,179129,201881,223752,245935,270679,299554,325014
154,Bahrain,Manama,Asia,117149,134865,160691,193012,222555,285116,362595,434375,517418,612934,711442
8,Bangladesh,Dhaka,Asia,39728535,44315548,50396429,58500159,67541860,74700345,83929765,95959099,107147651,117793338,129193327
186,Barbados,Bridgetown,North America,210548,227320,232550,237694,241397,247090,253575,257911,258868,262303,264657
96,Belarus,Minsk,Europe,7906860,7976356,8389183,8854528,9170786,9500738,9817257,10133211,10428525,10461696,10256483
81,Belgium,Brussels,Europe,8617344,8834526,9108724,9412087,9629376,9763430,9828986,9880534,9959560,10095198,10264343
177,Belize,Belmopan,North America,69116,79986,91403,104838,120905,130801,145133,163436,182589,203556,240406
77,Benin,Porto-Novo,Africa,2264452,2360081,2512284,2735843,3023443,3378703,3833939,4419552,5133419,6046511,6998023
206,Bermuda,Hamilton,North America,37142,39136,42026,47074,52019,53256,53565,55611,57470,59465,61371
165,Bhutan,Thimphu,Asia,176367,196014,221266,255010,298894,352269,415257,484528,558442,527536,587207
80,Bolivia,Sucre,South America,3089843,3357923,3707515,4115511,4585693,5127776,5736088,6385630,7096194,7841471,8592656
137,Bosnia and Herzegovina,Sarajevo,Europe,2692907,2958430,3262539,3565517,3815561,4022090,4199820,4383306,4494310,3750527,4179350
144,Botswana,Gaborone,Africa,413481,461880,512865,570975,592244,727930,938578,1138704,1341474,1543634,1726985
7,Brazil,Brasilia,South America,37189369,40839223,44928342,49925799,96369875,62851312,122288383,83585251,150706446,108187610,175873720
221,British Virgin Islands,Road Town,North America,7358,7516,7850,8018,9581,10282,11109,13202,15617,17674,20104
175,Brunei,Bandar Seri Begawan,Asia,48269,64267,85346,107686,133343,159653,187921,222119,261928,299097,333926
108,Bulgaria,Sofia,Europe,7157632,7517922,7891756,8245072,8582950,8860971,8980606,8917076,8767778,8477579,8097691
58,Burkina Faso,Ouagadougou,Africa,4213757,4472824,4783259,5157929,5611666,6138444,6932967,7979185,9131361,10353263,11882888
78,Burundi,Bujumbura,Africa,2254113,2495193,2746628,3118134,3497834,3749232,4312834,4948024,5483793,5932783,6307659
